case_status,location,date,text
Opened,"383 Silver St, South Boston https://t.co/iYDeqdeTg6. Parked on sidewalk.",2016-03-07 14:11:40,"Opened report via iphone at 383 Silver St, South Boston https://t.co/iYDeqdeTg6. Parked on sidewalk. https://t.co/VIsmvOwe4k"
Closed,"307 Foster St, Brighton",2016-03-07 14:10:10,"Closed report at 307 Foster St, Brighton https://t.co/hLnXbpYDrj. Case closed. case noted. cited 295 thru 315 foster loose trash."
Opened,Intersection Of Oak St W &amp; Shawmut Ave https://t.co/grfcwynbBt.,2016-03-07 14:00:17,Opened Illegal Graffiti report via iphone at Intersection Of Oak St W &amp; Shawmut Ave https://t.co/grfcwynbBt. https://t.co/Wchm5whM1m
Opened,332 Tremont St https://t.co/XU4rahilQA.,2016-03-07 13:59:46,Opened Illegal Graffiti report via iphone at 332 Tremont St https://t.co/XU4rahilQA. https://t.co/qnrAVoRBDJ
Opened,58 Salem St,2016-03-07 13:44:41,Opened Dead Animal Pick-up report via iphone at 58 Salem St https://t.co/X7Ev9yWE3i. Dead rat.
Closed,23 Ransom Rd Brighton,2016-03-07 13:44:25,Closed Illegal Parking report at 23 Ransom Rd Brighton https://t.co/H2Wsx8G7xy. Case closed. case noted. cited illegal yard parking.
Closed,23 Ransom Rd Brighton,2016-03-07 13:44:18,Closed Illegal Parking report at 23 Ransom Rd Brighton https://t.co/T4ISvafnxF. Case closed. case noted. cited illegal yard parking.
Opened,Commonwealth Avenue Boston MA,2016-03-07 13:32:39,Opened Traffic Signal report via web at Commonwealth Avenue Boston MA https://t.co/Cxm0Mqfzsh. Clarendon and commonwealth ave.
Opened,"441 Bennington St, East Boston https://t.co/qOv2q40mov.",2016-03-07 13:30:33,"Opened report via iphone at 441 Bennington St, East Boston https://t.co/qOv2q40mov. https://t.co/51NmZSRt7w"
Opened,"40 Ellery St, 2, South Boston https://t.co/3Bbv0144pu. Litter in roadway.",2016-03-07 13:09:17,"Opened Litter report via android at 40 Ellery St, 2, South Boston https://t.co/3Bbv0144pu. Litter in roadway. https://t.co/TySOtZQKo1"
Closed,"50 Raldne Rd, Hyde Park",2016-03-07 12:46:36,"Closed Illegal Parking report at 50 Raldne Rd, Hyde Park https://t.co/yY0Q437URn. Case closed. case noted. this was clear."
Closed,531-533 E 2nd St,2016-03-07 12:43:55,Closed Abandoned Vehicle report at 531-533 E 2nd St https://t.co/JlvgQGzOEB. Case closed. case resolved. vehicle not at location 3/4.
Closed,"1530 Washington St, Roxbury",2016-03-07 12:42:00,"Closed report at 1530 Washington St, Roxbury https://t.co/0BGEiGwitW. Case closed. case noted. thank you, the crew will be notified."
